smiles,smiles_masked
CC(C)N(CCC#N)C(=O)c1cccc(-n2cnnn2)c1,<s><mask>(C<mask>N(CCC#<mask>)C(=O)c1cccc(-n2<mask>2)<mask>1</s>
COc1ccc(COCCCC(=O)Nc2cc(F)c(OC)c(F)c2)cc1,<s>COc1ccc<mask><mask>(=O<mask>Nc2cc(F)c(OC)c(F<mask>c<mask>)cc1</s>
Cc1cc(C)cc(N(C)C(=O)N[C@H]2C=C[C@@H](C(=O)[O-])C2)c1,<s>Cc<mask><mask>(C<mask>cc(N(C)C<mask>O)N[C@H]2C=C[<mask>@@H](C(=O<mask>O-])<mask>2)<mask>1</s>
COCc1ccccc1C[NH2+][C@H]1CCO[C@@]2(CCOC2)C1,<s><mask>1ccccc1C[NH<mask>+][C@H]1CCO[<mask><mask>2<mask>CCOC2)C1</s>
O=C([O-])c1cccc(Oc2ncnc3c2CCCCC3)c1,<s>O=C([O-])<mask><mask>cccc(Oc2ncnc<mask>c2CCCCC<mask>)c1</s>
C[C@@H](/C([O-])=N/c1ccccc1F)N1CCC([C@@H](O)c2nccn2C)CC1,<s><mask>[C@@H](/C([<mask>-])=<mask>/c1ccccc1F<mask>N1CCC([C@@H](O<mask><mask>2nccn2<mask>)CC1</s>
C#CCOCC1CCN(C(=O)CCC2CCCCC2)CC1,<s>C#CCOCC1<mask>(<mask>(=O)CCC2<mask>2)CC1</s>
CN(C)c1[nH+]cccc1CN1CCc2nc(-c3cnccn3)[nH]c(=O)c2CC1,<s>CN(<mask><mask>c1[nH+]cccc1<mask><mask>CCc2nc(-c3cnccn3<mask>nH]c(=O)c2<mask>1</s>
CCNC(=O)c1ccc(NS(=O)(=O)C[C@H](C)c2ccccc2)cc1,<s>CCNC(=O)c1ccc(<mask>(=O<mask>O)C[C@H<mask>C)c2ccccc<mask>)<mask>1</s>
Cc1cc(C[NH+]2CCO[C@@]3(CCc4ccccc43)C2)ccc1-n1cncn1,<s>Cc<mask>cc<mask>C[NH+]2CCO[C<mask>3<mask>CCc4<mask>43)C2)<mask>1-n1cncn1</s>
CNS(=O)(=O)c1cc(NC(=O)CSc2cccc(C)c2)ccc1C,<s>CNS(=<mask>)(=O)c1cc<mask>NC(=O)CSc2cccc<mask>C<mask><mask>2)ccc1C</s>
C[C@@H]([NH2+][C@H](C)c1nnc2ccccn12)c1ccccc1N(C)C,<s>C[C@@H]([<mask>2+][C@<mask>](C)c1nnc<mask>ccccn12)<mask>1ccccc1N<mask><mask>)C</s>
CCOc1ccccc1NC(=O)C1=C(C)Nc2nnnn2[C@H]1c1cc(Br)ccc1OCC,<s>CCOc1<mask>1<mask>(=O)C<mask>=C(C<mask>Nc2nnnn2[C@H]<mask>c1cc(Br)ccc<mask>OCC</s>
[NH-]S(=O)(=O)c1cnc(N2CCN([C@H]3C[C@H]4CC[C@@H]3C4)CC2)s1,<s>[NH-]S(=O<mask>O)c<mask>cnc(N<mask>CCN([<mask>@H]3C<mask><mask>@H]4<mask>[C@@H]3C4<mask>CC2)s1</s>
CC(C)n1cc([C@H](C)N[C@H]2CC[NH+](C)[C@@H]2c2ccc(F)cc2)cn1,<s>CC(C)<mask>1cc([C@<mask>](C<mask>N<mask>C<mask>H]2CC<mask>NH+](C)[C@@H]2c2<mask>(F)<mask>2)cn1</s>
CC[NH+]1CCN([C@H](C)CNC(=O)Cc2ccc(-n3cccn3)cc2)CC1,<s>CC[NH+]1<mask>([C<mask>H](C<mask>CNC<mask>O)Cc2ccc<mask>n<mask>cccn3)cc2)CC1</s>
C[NH+]1CCO[C@@H](C(=O)N2CCN(CC(=O)Nc3ccccc3)CC2)C1,<s>C<mask>NH+]1CCO[C@@H](C(=O<mask>N2CCN(CC<mask>O)Nc<mask>ccccc<mask>)CC<mask>)C1</s>
CCCCNC(=O)Nc1cc(C#N)ccc1Cl,<s><mask>(=O<mask>Nc1cc(C#N)ccc<mask>Cl</s>
COCCNc1ccc(-c2noc([C@@H]3CCC[NH+]3Cc3ccc(C#N)cc3)n2)c[nH+]1,<s>COCCNc1ccc(-<mask>2<mask>([C@@H]3<mask>[NH+]<mask>Cc3<mask>(C#N<mask>cc3)n2)c[nH+]<mask></s>
COCC1(C(=O)NCc2cccnc2N(C)C)CCC1,<s>COCC1(C(=O)NCc2cccnc2N<mask>C<mask><mask>)CCC1</s>
Cc1cc(NC(=O)c2ccc(C(C)C)cc2)ccn1,<s>Cc1cc(<mask>(=O<mask><mask>2ccc(C(C)C<mask>cc2)ccn1</s>
C#CCCOc1ccc(C[NH+]2CCN([C@@H](C)C(=O)NC3CCCC3)CC2)cc1,<s>C#CCCOc1ccc(C[NH+]2<mask><mask>C@@H<mask>C<mask>C(=O)NC3CCCC3<mask><mask>2)cc1</s>
c1nc([C@@H]2CCCO2)sc1-c1nc([C@H]2CCOC2)no1,<s>c1<mask>([<mask>@@H<mask>2CCCO2)sc1-<mask><mask>nc([C@H]2CCOC2)no1</s>
C[NH+]1[C@H]2CC[C@@H]1CN(C(=O)N[C@@H]1CC[NH+](CC3CCCC3)C1)CC2,<s>C[NH<mask><mask>[C<mask>H<mask><mask>CC[C@@H]1CN(C(=O)<mask>[C<mask>H]1CC[NH+](CC3CCCC<mask>)<mask>1)CC2</s>
