Step,Unique_1gram_Percentage,Unique_2gram_Percentage,Unique_3gram_Percentage
0,6.840958605664488,9.863325740318906,10.119331742243437
10,7.348451809856083,10.852713178294573,11.586239847109413
20,7.759372275501308,11.759343664539653,12.989493791786055
30,8.369659982563208,13.217866909753875,15.18624641833811
40,8.758169934640524,14.168564920273349,16.539379474940333
50,9.047307608458688,14.7937086847504,17.48268449964175
60,9.308916503161107,15.386368816959198,18.366372104131838
70,9.690091663029245,16.293929712460063,19.703491152558584
80,9.725250763192324,16.62106703146375,20.210224558050644
90,9.925828970331589,16.902372262773724,20.60229445506692
100,10.102552912939123,17.134382842801735,20.870188859670094
