Step,Unique_1gram_Percentage,Unique_2gram_Percentage,Unique_3gram_Percentage
0,6.906318082788671,10.045558086560364,10.35799522673031
10,8.035714285714286,12.750455373406194,14.336832061068701
20,8.870967741935484,14.653600729261623,17.21585482330468
30,9.538327526132404,16.16575591985428,19.394083969465647
40,10.217864923747277,17.813211845102504,21.694510739856803
50,10.54006968641115,18.875227686703095,23.1631679389313
60,10.968163977322286,19.835841313269494,24.558050645007167
70,11.476480836236934,20.833333333333332,26.09732824427481
80,11.522544108037465,21.22523343202004,26.72393223574326
90,11.769834350479512,21.78669097538742,27.483285577841453
100,12.088151865590225,22.313483915126625,28.305044226631605
