Step,Unique_1gram_Percentage,Unique_2gram_Percentage,Unique_3gram_Percentage
0,6.865736704446382,9.913400182315407,10.195797516714423
10,7.51797777293528,11.346548188653452,12.31797565051325
20,7.975593811287863,12.39462292093871,13.893530675578898
30,8.54402789886661,13.69644484958979,15.854823304680039
40,8.876772082878952,14.43557582668187,16.869772998805256
50,9.207942395810605,14.921286789869953,17.54721491752331
60,9.35659760087241,15.188141391106043,17.87335722819594
70,9.400218102508179,15.553021664766248,18.39904420549582
80,9.495743287491814,15.84113216160694,18.895001195886152
90,9.75130890052356,16.46897810218978,19.765774378585085
100,10.202746893394375,17.187143834055163,20.754716981132077
